Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   J1190           No Change       Dexrazoxane hcl injection      Injection, dexrazoxane hydrochloride, per 250 mg
   J1200           No Change       Diphenhydramine hcl injectio   Injection, diphenhydramine hcl, up to 50 mg
   J1205           No Change       Chlorothiazide sodium inj      Injection, chlorothiazide sodium, per 500 mg
   J1212           No Change       Dimethyl sulfoxide 50% 50 ml   Injection, dmso, dimethyl sulfoxide, 50%, 50 ml
   J1230           No Change       Methadone injection            Injection, methadone hcl, up to 10 mg
   J1240           No Change       Dimenhydrinate injection       Injection, dimenhydrinate, up to 50 mg
   J1245           No Change       Dipyridamole injection         Injection, dipyridamole, per 10 mg
   J1250           No Change       Inj dobutamine hcl/250 mg      Injection, dobutamine hydrochloride, per 250 mg
   J1260           No Change       Dolasetron mesylate            Injection, dolasetron mesylate, 10 mg
   J1265           No Change       Dopamine injection             Injection, dopamine hcl, 40 mg
   J1267        Payment Change     Doripenem injection            Injection, doripenem, 10 mg
   J1270           No Change       Injection, doxercalciferol     Injection, doxercalciferol, 1 mcg
   J1290           No Change       Ecallantide injection          Injection, ecallantide, 1 mg
   J1300           No Change       Eculizumab injection           Injection, eculizumab, 10 mg
   J1301           No Change       Injection, edaravone, 1 mg     Injection, edaravone, 1 mg
   J1303              ADD          Inj., ravulizumab-cwvz 10 mg   Injection, ravulizumab-cwvz, 10 mg
   J1320           No Change       Amitriptyline injection        Injection, amitriptyline hcl, up to 20 mg
   J1322           No Change       Elosulfase alfa, injection     Injection, elosulfase alfa, 1 mg
   J1324           No Change       Enfuvirtide injection          Injection, enfuvirtide, 1 mg
   J1325           No Change       Epoprostenol injection         Injection, epoprostenol, 0.5 mg
   J1327           No Change       Eptifibatide injection         Injection, eptifibatide, 5 mg
   J1330           No Change       Ergonovine maleate injection   Injection, ergonovine maleate, up to 0.2 mg
   J1335           No Change       Ertapenem injection            Injection, ertapenem sodium, 500 mg
   J1364           No Change       Erythro lactobionate /500 mg   Injection, erythromycin lactobionate, per 500 mg
   J1380           No Change       Estradiol valerate 10 mg inj   Injection, estradiol valerate, up to 10 mg
   J1410           No Change       Inj estrogen conjugate 25 mg   Injection, estrogen conjugated, per 25 mg
   J1428           No Change       Inj, eteplirsen, 10 mg         Injection, eteplirsen, 10 mg
   J1430           No Change       Ethanolamine oleate 100 mg     Injection, ethanolamine oleate, 100 mg
   J1435           No Change       Injection estrone per 1 mg     Injection, estrone, per 1 mg
   J1436           No Change       Etidronate disodium inj        Injection, etidronate disodium, per 300 mg
   J1438           No Change       Etanercept injection           Injection, etanercept, 25 mg (code may be used for medicare when drug
   J1439           No Change       Inj ferric carboxymaltos 1mg   Injection, ferric carboxymaltose, 1 mg
   J1442           No Change       Inj filgrastim excl biosimil   Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram
   J1443           No Change       Inj ferric pyrophosphate cit   Injection, ferric pyrophosphate citrate solution, 0.1 mg of iron
   J1444              ADD          Fe pyro cit pow 0.1 mg iron    Injection, ferric pyrophosphate citrate powder, 0.1 mg of iron
   J1446           No Change       Inj, tbo-filgrastim, 5 mcg     Injection, tbo-filgrastim, 5 micrograms
   J1447           No Change       Inj tbo filgrastim 1 microg    Injection, tbo-filgrastim, 1 microgram
   J1450           No Change       Fluconazole                    Injection fluconazole, 200 mg
   J1451           No Change       Fomepizole, 15 mg              Injection, fomepizole, 15 mg
   J1452           No Change       Intraocular fomivirsen na      Injection, fomivirsen sodium, intraocular, 1.65 mg
   J1453           No Change       Fosaprepitant injection        Injection, fosaprepitant, 1 mg
   J1454           No Change       Inj fosnetupitant, palonoset   Injection, fosnetupitant 235 mg and palonosetron 0.25 mg
   J1455           No Change       Foscarnet sodium injection     Injection, foscarnet sodium, per 1000 mg
   J1457           No Change       Gallium nitrate injection      Injection, gallium nitrate, 1 mg
   J1458           No Change       Galsulfase injection           Injection, galsulfase, 1 mg
   J1459           No Change       Inj ivig privigen 500 mg       Injection, immune globulin (privigen), intravenous, non-lyophilized (e
   J1460           No Change       Gamma globulin 1 cc inj        Injection, gamma globulin, intramuscular, 1 cc
   J1555           No Change       Inj cuvitru, 100 mg            Injection, immune globulin (cuvitru), 100 mg
   J1556           No Change       Inj, imm glob bivigam, 500mg   Injection, immune globulin (bivigam), 500 mg
   J1557           No Change       Gammaplex injection            Injection, immune globulin, (gammaplex), intravenous, non-lyophilized
   J1559           No Change       Hizentra injection             Injection, immune globulin (hizentra), 100 mg
   J1560           No Change       Gamma globulin > 10 cc inj     Injection, gamma globulin, intramuscular, over 10 cc
   J1561           No Change       Gamunex-c/gammaked             Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g
   J1562           No Change       Vivaglobin, inj                Injection, immune globulin (vivaglobin), 100 mg
   J1566           No Change       Immune globulin, powder        Injection, immune globulin, intravenous, lyophilized (e.g., powder), n
   J1568           No Change       Octagam injection              Injection, immune globulin, (octagam), intravenous, non-lyophilized (e
   J1569           No Change       Gammagard liquid injection     Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g.
   J1570           No Change       Ganciclovir sodium injection   Injection, ganciclovir sodium, 500 mg
   J1571           No Change       Hepagam b im injection         Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5
   J1572           No Change       Flebogamma injection           Injection, immune globulin, (flebogamma/flebogamma dif), intravenous,
   J1573           No Change       Hepagam b intravenous, inj     Injection, hepatitis b immune globulin (hepagam b), intravenous, 0.5 m
   J1575           No Change       Hyqvia 100mg immuneglobulin    Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobu
   J1580           No Change       Garamycin gentamicin inj       Injection, garamycin, gentamicin, up to 80 mg
   J1590           No Change       Gatifloxacin injection         Injection, gatifloxacin, 10 mg
   J1595           No Change       Injection glatiramer acetate   Injection, glatiramer acetate, 20 mg
   J1599           No Change       Ivig non-lyophilized, nos      Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid
   J1600           No Change       Gold sodium thiomaleate inj    Injection, gold sodium thiomalate, up to 50 mg
   J1602           No Change       Golimumab for iv use 1mg       Injection, golimumab, 1 mg, for intravenous use
   J1610           No Change       Glucagon hydrochloride/1 mg    Injection, glucagon hydrochloride, per 1 mg
   J1620           No Change       Gonadorelin hydroch/ 100 mcg   Injection, gonadorelin hydrochloride, per 100 mcg
   J1626           No Change       Granisetron hcl injection      Injection, granisetron hydrochloride, 100 mcg
